0  -1.60982e-15
0.024737  0.0247582
0.0494739  0.0502868
0.0742109  0.0724906
0.0989478  0.0998307
0.123685  0.125201
0.148422  0.145075
0.173159  0.174665
0.197896  0.200208
0.222633  0.217349
0.24737  0.249661
0.272106  0.274702
0.296843  0.289899
0.32158  0.324062
0.346317  0.349404
0.371054  0.361815
0.395791  0.398774
0.420528  0.4232
0.445265  0.43418
0.470002  0.472536
0.494739  0.497318
0.519476  0.505564
0.544213  0.54677
0.56895  0.570133
0.593687  0.577556
0.618424  0.619692
0.643161  0.643394
0.667898  0.648191
0.692635  0.693249
0.717372  0.714942
0.742109  0.719588
0.766845  0.765112
0.791582  0.787073
0.816319  0.78922
0.841056  0.837772
0.865793  0.857067
0.89053  0.859763
0.915267  0.908322
0.940004  0.92779
0.964741  0.928102
0.989478  0.979827
1.01421  0.995926
1.03895  0.997502
1.06369  1.04876
1.08843  1.06494
1.11316  1.06422
1.1379  1.1188
1.16264  1.13088
1.18737  1.13215
1.21211  1.18576
1.23685  1.19786
1.26158  1.19687
1.28632  1.25397
1.31106  1.26121
1.3358  1.26297
1.36053  1.31852
1.38527  1.32575
1.41001  1.32525
1.43474  1.38447
1.45948  1.38603
1.48422  1.38908
1.50895  1.44607
1.53369  1.44767
1.55843  1.4484
1.58316  1.50922
1.6079  1.50431
1.63264  1.50943
1.65738  1.56723
1.68211  1.56245
1.70685  1.56514
1.73159  1.62693
1.75632  1.61471
1.78106  1.62272
1.8058  1.68053
1.83053  1.6686
1.85527  1.67398
1.88001  1.73594
1.90475  1.71551
1.92948  1.72727
1.95422  1.78407
1.97896  1.76417
2.00369  1.773
2.02843  1.8341
2.05317  1.80445
2.0779  1.82086
2.10264  1.87532
2.12738  1.84653
2.15211  1.85955
2.17685  1.91848
2.20159  1.87838
2.22633  1.90044
2.25106  1.95078
2.2758  1.91197
2.30054  1.92995
2.32527  1.98491
2.35001  1.93273
2.37475  1.96158
2.39948  2.00529
2.42422  1.95493
2.44896  1.97863
2.4737  2.02712
2.49843  1.96043
2.52317  1.99743
2.54791  2.03075
2.57264  1.96651
2.59738  1.99663
2.62212  2.03478
2.64685  1.94947
2.67159  1.99645
2.69633  2.01296
2.72106  1.93073
2.7458  1.96774
2.77054  1.98856
2.79528  1.87651
2.82001  1.93626
2.84475  1.92252
2.86949  1.81352
2.89422  1.85671
2.91896  1.84342
2.9437  1.68353
2.96843  1.7614
2.99317  1.67471
3.01791  1.51157
3.04264  1.55052
3.06738  1.41482
3.09212  1.11205
3.11686  1.14006
3.14159  1.42109e-14
3.16633  -1.14006
3.19107  -1.11205
3.2158  -1.41482
3.24054  -1.55052
3.26528  -1.51157
3.29001  -1.67471
3.31475  -1.7614
3.33949  -1.68353
3.36423  -1.84342
3.38896  -1.85671
3.4137  -1.81352
3.43844  -1.92252
3.46317  -1.93626
3.48791  -1.87651
3.51265  -1.98856
3.53738  -1.96774
3.56212  -1.93073
3.58686  -2.01296
3.61159  -1.99645
3.63633  -1.94947
3.66107  -2.03478
3.68581  -1.99663
3.71054  -1.96651
3.73528  -2.03075
3.76002  -1.99743
3.78475  -1.96043
3.80949  -2.02712
3.83423  -1.97863
3.85896  -1.95493
3.8837  -2.00529
3.90844  -1.96158
3.93318  -1.93273
3.95791  -1.98491
3.98265  -1.92995
4.00739  -1.91197
4.03212  -1.95078
4.05686  -1.90044
4.0816  -1.87838
4.10633  -1.91848
4.13107  -1.85955
4.15581  -1.84653
4.18054  -1.87532
4.20528  -1.82086
4.23002  -1.80445
4.25476  -1.8341
4.27949  -1.773
4.30423  -1.76417
4.32897  -1.78407
4.3537  -1.72727
4.37844  -1.71551
4.40318  -1.73594
4.42791  -1.67398
4.45265  -1.6686
4.47739  -1.68053
4.50212  -1.62272
4.52686  -1.61471
4.5516  -1.62693
4.57634  -1.56514
4.60107  -1.56245
4.62581  -1.56723
4.65055  -1.50943
4.67528  -1.50431
4.70002  -1.50922
4.72476  -1.4484
4.74949  -1.44767
4.77423  -1.44607
4.79897  -1.38908
4.82371  -1.38603
4.84844  -1.38447
4.87318  -1.32525
4.89792  -1.32575
4.92265  -1.31852
4.94739  -1.26297
4.97213  -1.26121
4.99686  -1.25397
5.0216  -1.19687
5.04634  -1.19786
5.07107  -1.18576
5.09581  -1.13215
5.12055  -1.13088
5.14529  -1.1188
5.17002  -1.06422
5.19476  -1.06494
5.2195  -1.04876
5.24423  -0.997502
5.26897  -0.995926
5.29371  -0.979827
5.31844  -0.928102
5.34318  -0.92779
5.36792  -0.908322
5.39266  -0.859763
5.41739  -0.857067
5.44213  -0.837772
5.46687  -0.78922
5.4916  -0.787073
5.51634  -0.765112
5.54108  -0.719588
5.56581  -0.714942
5.59055  -0.693249
5.61529  -0.648191
5.64002  -0.643394
5.66476  -0.619692
5.6895  -0.577556
5.71424  -0.570133
5.73897  -0.54677
5.76371  -0.505564
5.78845  -0.497318
5.81318  -0.472536
5.83792  -0.43418
5.86266  -0.4232
5.88739  -0.398774
5.91213  -0.361815
5.93687  -0.349404
5.9616  -0.324062
5.98634  -0.289899
6.01108  -0.274702
6.03582  -0.249661
6.06055  -0.217349
6.08529  -0.200208
6.11003  -0.174665
6.13476  -0.145075
6.1595  -0.125201
6.18424  -0.0998307
6.20897  -0.0724906
6.23371  -0.0502868
6.25845  -0.0247582
